Ticker Name,3-Year BETA,5-Year BETA,10-Year BETA,3-Year Standard Deviation,5-Year Standard Deviation,10-Year Standard Deviation,3-Year Sharpe,5-Year Sharpe,10-Year Sharpe,3-Year Treynor Ratio,5-Year Treynor Ratio,10-Year Treynor Ratio
BLOV.TO,0.69,0,0,13.12,0,0,0.1,0,0,0.74,0,0
FWCP.TO,0,0,0,0,0,0,0,0,0,0,0,0
CUDV.TO,0,0,0,0,0,0,0,0,0,0,0,0
RUDC.TO,0,0,0,0,0,0,0,0,0,0,0,0
PAYF.TO,0.41,0,0,8.59,0,0,0.46,0,0,8.95,0,0
TGGR.TO,1.11,0,0,15.49,0,0,0.55,0,0,7.02,0,0
BNC.TO,0.9,0.95,0,15.5,17.25,0,0.67,0.3,0,11.01,3.98,0
ZBBB.TO,0.65,0,0,4.16,0,0,-0.84,0,0,-5.44,0,0
MJJ.NE,1.83,1.97,0,50.68,48.82,0,-0.27,-0.3,0,-13.08,-12.05,0
FIXD.NE,1,0.96,0,6.26,6.24,0,-0.82,-0.2,0,-5.3,-1.56,0
CNCL.TO,0,0,0,0,0,0,0,0,0,0,0,0
QINF.TO,0.91,0,0,12.5,0,0,0.29,0,0,3.32,0,0
GCSC.TO,0,0,0,0,0,0,0,0,0,0,0,0
XFF.TO,0.76,0.98,0,12.81,15.38,0,0.79,0.29,0,13,3.4,0
XEXP.TO,0,0,0,0,0,0,0,0,0,0,0,0
HFD.TO,0,0,0,32.95,31.66,26.12,-0.72,-0.61,-0.83,0,0,0
ICAE.TO,0,0,0,0,0,0,0,0,0,0,0,0
PHE.TO,0,0,0,11.54,11.39,10.48,0.4,0.2,0.32,0,0,0
GGEM.TO,0,0,0,0,0,0,0,0,0,0,0,0
DCC.TO,1.31,1.35,0,3.13,3.42,0,-0.94,-0.04,0,-2.25,-0.14,0
XTLT.TO,0,0,0,0,0,0,0,0,0,0,0,0
EQE.NE,1.09,1.12,0,18.27,17.5,0,0.29,0.17,0,3.48,1.3,0
TUSB.TO,0.36,0,0,5.32,0,0,-0.24,0,0,-3.91,0,0
TUSB-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
MGAB.TO,0.57,0,0,5.36,0,0,-0.95,0,0,-8.98,0,0
CARB.TO,0,0,0,0,0,0,0,0,0,0,0,0
HMUS.NE,1.89,0,0,52.61,0,0,-0.33,0,0,-14.74,0,0
FDN.TO,1.16,0.96,0,22.28,19.41,0,-0.41,-0.21,0,-9.6,-6.06,0
FUD.TO,0.85,0.92,0.77,15.62,16.46,13.49,0.38,0.24,0.43,5.91,2.87,6.64
MEU.TO,0.8,0.83,0,13.93,13.53,0,-0.13,0.02,0,-3.45,-0.8,0
HUTE.TO,0,0,0,0,0,0,0,0,0,0,0,0
TPAY.TO,0.66,0,0,6.31,0,0,-0.98,0,0,-9.5,0,0
BNKL.TO,0,0,0,0,0,0,0,0,0,0,0,0
RUBH.TO,1.64,1.73,0,29.99,31.81,0,0.22,-0.04,0,1.26,-3.78,0
TMEI.TO,0,0,0,0,0,0,0,0,0,0,0,0
COPP.TO,0,0,0,0,0,0,0,0,0,0,0,0
RDE.NE,0.89,0.84,0,12.9,14.12,0,0.73,0.42,0,10.36,6.12,0
HLFE.TO,0,0,0,0,0,0,0,0,0,0,0,0
FINT.TO,1.08,1.05,0,15.59,14.77,0,0.18,0.29,0,1.6,3.14,0
MCKG.NE,0,0,0,0,0,0,0,0,0,0,0,0
XDLR.TO,0,0,0,0,0,0,0,0,0,0,0,0
FMTV.NE,0,0,0,0,0,0,0,0,0,0,0,0
BRKY.NE,0,0,0,0,0,0,0,0,0,0,0,0
FCLH.TO,0.89,0,0,15.04,0,0,0.38,0,0,5.41,0,0
MUSD-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
UTIL.TO,0,0,0,0,0,0,0,0,0,0,0,0
ARKW.TO,0,0,0,0,0,0,0,0,0,0,0,0
HED.TO,0,0,0,59.52,74.38,59.39,-1.85,-0.55,-0.39,0,0,0
GIGR.TO,1.04,0,0,17.76,0,0,-0.33,0,0,-7.06,0,0
XCLN.TO,0,0,0,0,0,0,0,0,0,0,0,0
CDNA.TO,0,0,0,0,0,0,0,0,0,0,0,0
HBKU.TO,0,0,0,0,0,0,0,0,0,0,0,0
TECI.TO,0,0,0,0,0,0,0,0,0,0,0,0
XHAK.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZSML-F.TO,1.33,0,0,22.16,0,0,0.48,0,0,6.56,0,0
TBNK.TO,0,0,0,0,0,0,0,0,0,0,0,0
ARKG.TO,0,0,0,0,0,0,0,0,0,0,0,0
XEMC.TO,0,0,0,0,0,0,0,0,0,0,0,0
HBFE.TO,0,0,0,0,0,0,0,0,0,0,0,0
HYDR.TO,0,0,0,0,0,0,0,0,0,0,0,0
HREU.TO,0,0,0,0,0,0,0,0,0,0,0,0
QQEQ.TO,0,0,0,0,0,0,0,0,0,0,0,0
XDNA.TO,0,0,0,0,0,0,0,0,0,0,0,0
FINO.TO,0,0,0,0,0,0,0,0,0,0,0,0
FLDM.TO,0.88,0.86,0,12.91,12.02,0,0.47,0.35,0,6.23,4.17,0
XFA.TO,1.05,1.13,0,16.64,18.63,0,0.41,0.24,0,5.52,2.4,0
HFT.TO,1.46,0,0,21.15,0,0,-0.26,0,0,-5.19,0,0
ZEAT.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZGEN.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZFIN.TO,0,0,0,0,0,0,0,0,0,0,0,0
IUMF-F.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BBIG.TO,0,0,0,0,0,0,0,0,0,0,0,0
XULR.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZINT.TO,0,0,0,0,0,0,0,0,0,0,0,0
MUSC.TO,1.22,1.27,0,19.84,23.1,0,0.46,0.14,0,6.32,0.4,0
HZD.TO,0,0,0,53.14,58.51,51.05,-0.14,-0.4,-0.13,0,0,0
FETH.TO,0,0,0,0,0,0,0,0,0,0,0,0
BUFR.NE,0,0,0,0,0,0,0,0,0,0,0,0
HMJI.TO,0,0,0,59.55,0,0,0.39,0,0,0,0,0
FJFG.NE,0,0,0,0,0,0,0,0,0,0,0,0
SKYY.TO,0.88,0.69,0,21.75,18.42,0,-0.39,-0.24,0,-11.85,-8.85,0
SRIC.NE,0,0,0,0,0,0,0,0,0,0,0,0
IXTE.TO,0,0,0,0,0,0,0,0,0,0,0,0
FLEM.NE,0.87,0.82,0,12.83,12.71,0,0.03,-0.08,0,-0.52,-2.3,0
CANL.TO,0,0,0,0,0,0,0,0,0,0,0,0
GGAC.TO,0,0,0,0,0,0,0,0,0,0,0,0
FINN-U.NE,0,0,0,0,0,0,0,0,0,0,0,0
FINN.NE,0,0,0,0,0,0,0,0,0,0,0,0
IIMF-F.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IIMF.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TMCC.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZGRN.TO,0,0,0,0,0,0,0,0,0,0,0,0
QQJR-F.TO,0,0,0,0,0,0,0,0,0,0,0,0
QQJR.TO,0,0,0,0,0,0,0,0,0,0,0,0
CCLN.NE,0,0,0,0,0,0,0,0,0,0,0,0
HBD.TO,0,0,0,28.37,27.06,26.98,0.06,-0.66,-0.3,0,0,0
XCBU-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
XCBU.TO,0,0,0,0,0,0,0,0,0,0,0,0
CBCX.TO,0,0,0,0,0,0,0,0,0,0,0,0
RID.TO,0.96,0.95,0,13.69,13,0,0.35,0.15,0,4.24,1.21,0
RPD.TO,0.95,0.96,0,15.91,15.08,0,0.42,0.16,0,6.08,1.42,0
TECH-B.TO,0,0,0,0,0,0,0,0,0,0,0,0
TRVL-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
PYF-U.TO,0.2,0,0,5.99,0,0,0.65,0,0,18.55,0,0
TXF-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZMI-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZTS.NE,0.4,0.64,0,5.9,6.9,0,-0.52,0.05,0,-8.04,0.15,0
ZNQ-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZLU-U.TO,0.47,0.51,0.61,10.89,11.21,11.27,0.51,0.61,1.03,11.13,12.73,19.06
ZTIP.TO,0,0,0,0,0,0,0,0,0,0,0,0
BTCX-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
TXF-B.TO,1.2,1.18,0,19.32,18.58,0,0.45,0.61,0,5.94,8.65,0
TDOC.TO,0,0,0,0,0,0,0,0,0,0,0,0
LIFE-B.TO,0.57,0.5,0,12.09,11.89,0,0.5,0.67,0,9.7,15.37,0
RUD.TO,0.92,0.93,0,14.18,14.68,0,0.74,0.64,0,11.09,9.39,0
TRVL.TO,0,0,0,0,0,0,0,0,0,0,0,0
HBF.TO,1,1.06,0,16.8,17.52,0,0.38,0.34,0,5.26,4.34,0
HHL.TO,0.81,0.81,0,14.29,14.72,0,0.59,0.41,0,9.82,6.34,0
HPF.TO,0.78,0.83,0,26.35,32.46,0,1.14,0.12,0,40.18,-1.93,0
XEC.TO,1.02,1.01,0.99,14.26,14.88,13.25,-0.12,0.06,0.32,-2.64,-0.11,3.51
ZMI.TO,1.01,1.06,0.95,8.95,9.39,7.23,0.32,0.26,0.45,2.5,1.91,3.27
CYBR.TO,1.01,1.2,0,24.31,24.39,0,0.05,0.33,0,-1.56,4.45,0
ZUP-U.TO,0.55,0.49,0,13.91,13.69,0,-0.3,0.01,0,-9.2,-1.58,0
DANC.TO,0,0,0,1.3,0,0,-0.31,0,0,0,0,0
CGIN.TO,0,0,0,0,0,0,0,0,0,0,0,0
FSB.TO,0.16,0.07,0,1.97,1.75,0,-0.55,0.05,0,-6.8,1.09,0
PZW.TO,1.05,1.05,0,15.24,16.9,0,0.48,0.2,0,6.15,1.87,0
ZDY-U.TO,0.72,0.81,0.8,12.56,14.15,11.76,0.73,0.34,0.89,12.35,4.81,13
EBNK-B.TO,0,0,0,0,0,0,0,0,0,0,0,0
NXF-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
HTA-B.TO,1.29,0,0,19.92,0,0,0.69,0,0,9.76,0,0
FHI-B.TO,0.46,0.51,0,10.75,11.53,0,0.87,0.68,0,20.27,15.1,0
XEC-U.TO,1.02,0,0,14.26,0,0,-0.12,0,0,-2.64,0,0
CGXF-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
HTA-U.TO,1.32,1.13,0,20.36,18.17,0,0.66,0.83,0,9.34,12.84,0
XDG-U.TO,0.69,0,0,10.99,0,0,0.64,0,0,9.75,0,0
PZW-F.TO,0.54,0.94,0,23.98,24.02,0,0.47,0.2,0,16.45,2.13,0
ZTS-U.NE,0.48,0.71,0,5.91,7.3,0,-0.57,0.03,0,-7.29,-0.06,0
RUDB.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZJK.TO,1,1,0,7.12,7.21,0,-0.04,0.22,0,-0.56,1.38,0
RATE.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZWH-U.TO,0.75,0.81,0,12.73,13.91,0,0.71,0.42,0,11.65,6.34,0
HUBL-U.TO,1.28,1.33,0,24.53,24.96,0,0.27,-0.01,0,2.84,-2.6,0
EDGE.TO,1.41,1.52,0,20.58,22.46,0,0.06,0.36,0,-0.66,3.83,0
TGED.TO,1.06,0,0,14.57,0,0,0.46,0,0,5.65,0,0
ETHY-B.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZWB-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
KILO.TO,0.05,0,0,14.44,0,0,-0.16,0,0,-68.6,0,0
ZLU.TO,0.44,0.51,0.63,10.53,11.23,11.41,0.55,0.62,1.02,12.44,12.94,18.73
EBIT.TO,0,0,0,0,0,0,0,0,0,0,0,0
EBIT-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZDY.TO,0.7,0.81,0.82,12.13,14.22,11.93,0.77,0.34,0.88,13.24,4.95,12.84
CGXF.TO,0.74,0.91,1.01,27.89,31.11,27.34,-0.2,0.22,0.14,-12.02,2.68,0.3
ZNQ.TO,1.21,0,0,19.61,0,0,0.49,0,0,6.66,0,0
CMAG.TO,0,0,0,11.54,0,0,-0.1,0,0,0,0,0
NXF.TO,0.82,0.8,0,27.52,31.02,0,1.26,0.23,0,44.47,2.65,0
XUU.TO,0.99,0.99,0,14.32,14.9,0,0.62,0.59,0,8.37,8.24,0
TECH-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZTL.NE,1.68,2.02,0,13.55,16.53,0,-1.37,-0.18,0,-10.75,-2.12,0
CIEM.TO,0,0,0,0,0,0,0,0,0,0,0,0
TIPS-F.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZUAG-F.TO,0,0,0,0,0,0,0,0,0,0,0,0
CLML.TO,0,0,0,0,0,0,0,0,0,0,0,0
CRED.TO,0,0,0,2.13,0,0,-0.22,0,0,0,0,0
CMGG.TO,0,0,0,0,0,0,0,0,0,0,0,0
UDIV.TO,0,0,0,0,0,0,0,0,0,0,0,0
CIEM-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
ETHH-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
CMAG-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
EQL-U.TO,0.95,1.02,0,14.89,16.31,0,0.67,0.48,0,10.02,6.66,0
TPU-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
PYF-B.TO,0.19,0,0,5.74,0,0,0.73,0,0,21.44,0,0
XDU-U.TO,0.64,0,0,11.75,0,0,0.56,0,0,9.7,0,0
QQQT-B.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UDEF-B.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZJK-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZPAY-U.TO,0.55,0,0,9.53,0,0,0.35,0,0,5.33,0,0
ZUP.TO,0.54,0.53,0,13.82,14.07,0,-0.28,0.02,0,-8.84,-1.26,0
HUBL.TO,1.5,1.58,0,27.44,28.95,0,0.21,-0.05,0,1.32,-3.7,0
ZIC-U.TO,0.94,0.98,1.09,7.15,7.37,8.51,-0.84,0.1,0.48,-6.49,0.48,3.49
PYF.TO,0.14,0.27,0,3.49,6.52,0,1.14,0.35,0,28.69,7.79,0
QQQT.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TUED.TO,0.94,0,0,14.1,0,0,0.61,0,0,8.52,0,0
ETHH-B.TO,0,0,0,0,0,0,0,0,0,0,0,0
XMC.TO,1.05,1.04,0,16.52,18.34,0,0.66,0.35,0,9.83,4.79,0
ETHR.TO,0,0,0,0,0,0,0,0,0,0,0,0
EQL-F.TO,1.15,1.26,0,19,21.13,0,0.49,0.3,0,7.01,3.33,0
XDG.TO,0.7,0.7,0,11.03,11.03,0,0.63,0.44,0,9.69,6.3,0
BTCY.TO,0,0,0,0,0,0,0,0,0,0,0,0
LIFE.TO,0.73,0.71,0,13.31,13.14,0,0.46,0.55,0,7.44,9.54,0
NNRG.NE,0,0,0,0,0,0,0,0,0,0,0,0
TECH.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZPAY.TO,0.53,0,0,9.08,0,0,0.39,0,0,6.12,0,0
ZWH.TO,0.72,0.81,0,12.32,13.96,0,0.75,0.43,0,12.49,6.47,0
ZPR.TO,1.04,1.07,1.12,11.57,16.15,14.18,0.19,-0.06,-0.01,1.51,-2.13,-1.04
CGIN-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
TGED-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
PXS.TO,0.85,0.93,0,13.89,15.26,0,0.89,0.53,0,14.49,7.86,0
ZUAG.TO,0,0,0,0,0,0,0,0,0,0,0,0
CNAO.TO,0,0,0,0,0,0,0,0,0,0,0,0
CYBR-B.TO,0.7,0.89,0,22.66,22.25,0,0.19,0.49,0,2.57,10.06,0
RUD-U.TO,0.92,0.93,0,14.17,14.68,0,0.74,0.63,0,10.99,9.34,0
ZTM.NE,0.86,1.05,0,6.97,8.63,0,-1.07,-0.03,0,-8.64,-0.61,0
HBF-B.TO,0.78,0,0,12.44,0,0,0.57,0,0,8.58,0,0
ULV-C.TO,0.55,0.57,0,11.5,12.01,0,0.34,0.44,0,6.2,8.25,0
CCOR-U.TO,0.77,0,0,6.06,0,0,-0.98,0,0,-7.84,0,0
RUDB-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZSML-U.TO,1.11,0,0,18.39,0,0,0.6,0,0,9.12,0,0
ZPW-U.TO,0.39,0.35,0,8.81,8.48,0,0.62,0.3,0,13.46,6.44,0
HBF-U.TO,0.8,0.81,0,12.82,13.11,0,0.54,0.55,0,7.95,8.21,0
XUU-U.TO,0.99,0,0,14.33,0,0,0.62,0,0,8.37,0,0
CBON.NE,0,0,0,0,0,0,0,0,0,0,0,0
XDU.TO,0.64,0.69,0,11.73,12.27,0,0.56,0.41,0,9.7,6.43,0
NNRG-U.NE,0,0,0,0,0,0,0,0,0,0,0,0
EQL.TO,0.95,1.02,0,14.88,16.31,0,0.67,0.48,0,10.02,6.65,0
QUU.TO,0.97,0.98,0,14.11,14.77,0,0.61,0.65,0,8.32,9.31,0
HHL-B.TO,0.53,0,0,11.6,0,0,0.8,0,0,17.31,0,0
TEC-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
TPU.TO,0.97,0.98,0,14.11,14.82,0,0.61,0.65,0,8.25,9.26,0
ETHY-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
TEC.TO,1.37,0,0,21.23,0,0,0.4,0,0,4.77,0,0
ETHH.TO,0,0,0,0,0,0,0,0,0,0,0,0
HTA.TO,1.57,1.44,0,23,21.55,0,0.56,0.63,0,6.98,8.44,0
NXF-B.TO,0.76,0.71,0,24.93,27.56,0,1.42,0.3,0,51.2,6.38,0
ZSP.TO,0.95,0.97,0.98,13.91,14.63,12.57,0.66,0.66,1.06,9.12,9.36,13.64
ZPW.TO,0.38,0.36,0,8.52,8.52,0,0.67,0.3,0,14.68,6.32,0
BTCY-B.TO,0,0,0,0,0,0,0,0,0,0,0,0
FLX.TO,0.68,1.18,0,6.26,11.41,0,-0.05,-0.12,0,-0.72,-1.73,0
UDIV-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
BTCY-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZUAG-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
CMGG-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
ULV-U.TO,0.55,0.57,0,11.5,12.01,0,0.34,0.44,0,6.21,8.26,0
CCOR.TO,0.57,0,0,5.65,0,0,-1.16,0,0,-11.55,0,0
ZSML.TO,1.1,0,0,18.25,0,0,0.62,0,0,9.51,0,0
SYLD.TO,0.39,0.84,0,5.55,9.6,0,0.58,0.28,0,8.3,2.73,0
CMDO-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
HPF-U.TO,0.72,0.75,0,24.11,29.1,0,1.26,0.16,0,44.69,0.54,0
HHL-U.TO,0.56,0.51,0,11.92,11.8,0,0.76,0.62,0,15.92,13.71,0
XMU.TO,0.68,0.66,0.73,11.63,11.74,10.92,0.4,0.52,1.04,6.11,8.55,15.78
ZMID.TO,1.03,0,0,16.28,0,0,0.68,0,0,10.16,0,0
ETHR-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
UDIV-B.TO,0,0,0,0,0,0,0,0,0,0,0,0
BTCX-B.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZSP-U.TO,0.98,0.97,0.97,14.29,14.59,12.36,0.63,0.65,1.07,8.59,9.24,13.8
ZTM-U.NE,0.94,1.12,0,7.3,9.13,0,-1.05,-0.04,0,-8.2,-0.68,0
ZWB.TO,0.88,0.94,0.76,15.67,17.5,14.28,0.51,0.17,0.45,8.25,1.54,7.35
ZIC.TO,0.88,0.95,1.07,6.82,7.29,8.5,-0.85,0.12,0.49,-6.7,0.63,3.62
ETHY.TO,0,0,0,0,0,0,0,0,0,0,0,0
TXF.TO,1.48,1.47,1.26,22.31,22.2,17.79,0.34,0.44,0.73,3.61,5.26,9.73
CALL.TO,1.52,1.67,0,29.51,31.63,0,0.17,-0.05,0,0.4,-4.13,0
XAW.TO,1,1,0,13.07,13.49,0,0.49,0.45,0,5.89,5.47,0
ZUEA.NE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BGDV.NE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KILO-U.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CUSM-B.NE,0,0,0,0,0,0,0,0,0,0,0,0
TRVI.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MPAY.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QQCL.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNS.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HPYT.TO,0,0,0,0,0,0,0,0,0,0,0,0
CROP-U.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MPAY-U.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HGRW.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FINE.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BGIF.NE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CLP-UN.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZIU.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QQQY.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BOND.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LPAY-U.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UMNY-U.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZOCT.NE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MPY.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
XQQU-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZEBA.NE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
XCHP.TO,0,0,0,0,0,0,0,0,0,0,0,0
CUTL.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KILO-B.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMNY.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZUCM.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPAY-U.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
XQQU.TO,0,0,0,0,0,0,0,0,0,0,0,0
LPAY.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZWQT.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ENCL.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNT.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPAY.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HBND.TO,0,0,0,0,0,0,0,0,0,0,0,0
MNT-U.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CUTL-B.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CUSA-B.NE,0,0,0,0,0,0,0,0,0,0,0,0
GRCC.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMAR.TO,0,0,0,0,0,0,0,0,0,0,0,0
XUSF.TO,0,0,0,0,0,0,0,0,0,0,0,0
PIX-UN.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
XLVE.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RA-UN.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HEQL.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CBNK.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
XAD.TO,0,0,0,0,0,0,0,0,0,0,0,0
EIT-PB.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZUGE.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EQCL.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
